IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UUID_TRACADO|TRACADO_ETIQUETA|UF|MUNICIPIO|ARMARIO|TIPO_REDE
CBL0000000002173104|PT4102|LOC0000000001802920|Poste|-29.766839200|-57.095588300|Aerial|Autossustentável|42.370000000|42.370000000|PT4103|LOC0000000001802922|Poste|-29.766840900|-57.096026400|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146844|PT4102 >> PT4103|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT3798|LOC0000000001802312|Poste|-29.766835400|-57.093304200|Aerial|Autossustentável|28.830000000|28.830000000|PT3795|LOC0000000001802306|Poste|-29.766835500|-57.093602300|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146828|PT3798 >> PT3795|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT4103|LOC0000000001802922|Poste|-29.766840900|-57.096026400|Aerial|Autossustentável|40.900000000|40.900000000|PT4125|LOC0000000001802966|Poste|-29.766839300|-57.096449300|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146851|PT4103 >> PT4125|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT3801|LOC0000000001802318|Poste|-29.766835900|-57.094178600|Aerial|Autossustentável|23.090000000|23.090000000|PT4187|LOC0000000001803090|Poste|-29.766836200|-57.094417400|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146833|PT3801 >> PT4187|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT3795|LOC0000000001802306|Poste|-29.766835500|-57.093602300|Aerial|Autossustentável|32.570000000|32.570000000|PT3796|LOC0000000001802308|Poste|-29.766835700|-57.093939100|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146829|PT3795 >> PT3796|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT4126|LOC0000000001802968|Poste|-29.766848100|-57.096849500|Aerial|Autossustentável|42.920000000|42.920000000|PT4123|LOC0000000001802962|Poste|-29.766853500|-57.097293300|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146854|PT4126 >> PT4123|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT3797|LOC0000000001802310|Poste|-29.766835200|-57.093006600|Aerial|Autossustentável|28.780000000|28.780000000|PT3798|LOC0000000001802312|Poste|-29.766835400|-57.093304200|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146827|PT3797 >> PT3798|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT3796|LOC0000000001802308|Poste|-29.766835700|-57.093939100|Aerial|Autossustentável|23.160000000|23.160000000|PT3801|LOC0000000001802318|Poste|-29.766835900|-57.094178600|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146830|PT3796 >> PT3801|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT4125|LOC0000000001802966|Poste|-29.766839300|-57.096449300|Aerial|Autossustentável|38.720000000|38.720000000|PT4126|LOC0000000001802968|Poste|-29.766848100|-57.096849500|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146853|PT4125 >> PT4126|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT4187|LOC0000000001803090|Poste|-29.766836200|-57.094417400|Aerial|Autossustentável|45.120000000|45.120000000|PT4104|LOC0000000001802924|Poste|-29.766837400|-57.094883900|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146841|PT4187 >> PT4104|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
