UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMP|COMPRIMENTO_GEOMETRICO|TIPO_EQUIP1|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|UID_EQUIPAMENTO_LOGICO_1|NOME_EQUIPAMENTO_LOGICO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|TIPO_EQUIP2|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|UID_EQUIPAMENTO_LOGICO_2|NOME_EQUIPAMENTO_LOGICO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|CE-T1|CE-T2|qtde_fibras|COMP_NORM
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553928|PT_ESSMJ221|EQP0000000070010479|ESSMJ-I01-SP31-SP32-SP33|EQP0000000070024045|I01GP244|3|CBL0000000070538420|FB-SP31FGPONI01G0246|DROP 12F 5MM-12|12|Cordoalha|121.500000000|100.780000000|515|I01G0247|EQP0000000070011168|EQP0000000070011168|I01G0247|-20.021473200|-40.747699600|515|I01G0246|EQP0000000070011685|EQP0000000070011685|I01G0246|-20.022314500|-40.747372900|NAO|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553928|PT_ESSMJ221|EQP0000000070010479|ESSMJ-I01-SP31-SP32-SP33|EQP0000000070024045|I01GP244|4|CBL0000000070538584|FB-SP31FGPONI01G0245|DROP 12F 5MM-12|12|Cordoalha|266.400000000|239.710000000|515|I01G0246|EQP0000000070011685|EQP0000000070011685|I01G0246|-20.022314500|-40.747372900|515|I01G0245|EQP0000000070012918|EQP0000000070012918|I01G0245|-20.023798500|-40.747006700|NAO|NAO|1|300
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553928|PT_ESSMJ221|EQP0000000070010479|ESSMJ-I01-SP31-SP32-SP33|EQP0000000070024045|I01GP244|5|CBL0000000070538675|FB-SP31FGPONI01GP244|DROP 12F 5MM-12|12|Em fachada;Cordoalha|218.220000000|203.370000000|515|I01G0245|EQP0000000070012918|EQP0000000070012918|I01G0245|-20.023798500|-40.747006700|515|I01GP244|EQP0000000070024045|EQP0000000070024045|I01GP244|-20.022804700|-40.747016200|NAO|NAO|1|300
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070040102|I01G0280|1|CBL0000000070541824|FB-SP35FGPONI01G0280|DROP 12F 5MM-12|12|Cordoalha|121.500000000|102.480000000|511|ESSMJ-I01-SP34-SP35|EQP0000000070038847|EQP0000000070038847|ESSMJ-I01-SP34-SP35|-20.020065300|-40.747127400|515|I01G0280|EQP0000000070040102|EQP0000000070040102|I01G0280|-20.019755300|-40.746603700|SIM|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070040731|I01G0279|1|CBL0000000070541824|FB-SP35FGPONI01G0280|DROP 12F 5MM-12|12|Cordoalha|121.500000000|102.480000000|511|ESSMJ-I01-SP34-SP35|EQP0000000070038847|EQP0000000070038847|ESSMJ-I01-SP34-SP35|-20.020065300|-40.747127400|515|I01G0280|EQP0000000070040102|EQP0000000070040102|I01G0280|-20.019755300|-40.746603700|SIM|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070040731|I01G0279|2|CBL0000000070542360|FB-SP35FGPONI01G0279|DROP 12F 5MM-12|12|Cordoalha|176.200000000|153.770000000|515|I01G0280|EQP0000000070040102|EQP0000000070040102|I01G0280|-20.019755300|-40.746603700|515|I01G0279|EQP0000000070040731|EQP0000000070040731|I01G0279|-20.018897600|-40.747137400|NAO|NAO|1|200
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070041779|I01G0278|1|CBL0000000070541824|FB-SP35FGPONI01G0280|DROP 12F 5MM-12|12|Cordoalha|121.500000000|102.480000000|511|ESSMJ-I01-SP34-SP35|EQP0000000070038847|EQP0000000070038847|ESSMJ-I01-SP34-SP35|-20.020065300|-40.747127400|515|I01G0280|EQP0000000070040102|EQP0000000070040102|I01G0280|-20.019755300|-40.746603700|SIM|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070041779|I01G0278|2|CBL0000000070542360|FB-SP35FGPONI01G0279|DROP 12F 5MM-12|12|Cordoalha|176.200000000|153.770000000|515|I01G0280|EQP0000000070040102|EQP0000000070040102|I01G0280|-20.019755300|-40.746603700|515|I01G0279|EQP0000000070040731|EQP0000000070040731|I01G0279|-20.018897600|-40.747137400|NAO|NAO|1|200
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070041779|I01G0278|3|CBL0000000070542389|FB-SP35FGPONI01G0278|DROP 12F 5MM-12|12|Cordoalha|133.900000000|117.110000000|515|I01G0279|EQP0000000070040731|EQP0000000070040731|I01G0279|-20.018897600|-40.747137400|515|I01G0278|EQP0000000070041779|EQP0000000070041779|I01G0278|-20.019821300|-40.747402800|NAO|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070042531|I01G0277|1|CBL0000000070541824|FB-SP35FGPONI01G0280|DROP 12F 5MM-12|12|Cordoalha|121.500000000|102.480000000|511|ESSMJ-I01-SP34-SP35|EQP0000000070038847|EQP0000000070038847|ESSMJ-I01-SP34-SP35|-20.020065300|-40.747127400|515|I01G0280|EQP0000000070040102|EQP0000000070040102|I01G0280|-20.019755300|-40.746603700|SIM|NAO|1|150
